query_id,document_id,page_start,page_end,relevance,verified_by,verified_date,verification_note
B02,list-2026,268,269,1,Codex-agent-pool-audit,2026-08-04,"Laboratory and field evidence on experience and mechanism confirmed in OCR-backed page; approved by Kristian G4 on 2026-08-04."
B03,behavioral-guide-2016,146,147,1,Codex-local-PDF-audit,2026-08-04,"Passage rejects standard perfect-rationality prediction; approved by Kristian G4 on 2026-08-04."
B03,list-2026,40,41,1,Codex-agent-pool-audit,2026-08-04,"Experiments reject the standard perfect-rationality benchmark; approved by Kristian G4 on 2026-08-04."
B03,osborne-2003,21,21,1,Codex-agent-pool-audit,2026-08-04,"Observed choice violates rational-choice implications and exposes model limits; approved by Kristian G4 on 2026-08-04."
B04,kahneman-2011,194,195,1,Codex-local-PDF-audit,2026-08-04,"Loss-aversion stakes discussion confirmed in local PDF; approved by Kristian G4 on 2026-08-04."
B04,kahneman-2011,305,306,1,Codex-local-PDF-audit,2026-08-04,"Risk-taking response to losses confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,kahneman-2011,309,310,1,Codex-local-PDF-audit,2026-08-04,"Loss-domain risk behavior confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,kagel-roth-vol2,195,195,1,Codex-local-PDF-audit,2026-08-04,"Loss-aversion evidence and interpretation confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,kagel-roth-vol2,684,685,1,Codex-local-PDF-audit,2026-08-04,"Loss-aversion effect on choices under risk confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,jacquemet-lharidon-2018,148,149,1,Codex-local-PDF-audit,2026-08-04,"Asymmetric valuation of losses and gains confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,jacquemet-lharidon-2018,333,335,1,Codex-local-PDF-audit,2026-08-04,"Definition and experimental evidence on loss aversion confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,behavioral-guide-2016,123,123,1,Codex-agent-pool-audit,2026-08-04,"Losses weighted more than equal gains, producing risk asymmetry; approved by Kristian G4 on 2026-08-04."
E01,gerber-green-2012,25,26,1,Codex-local-PDF-audit,2026-08-04,"Random assignment creates groups identical in expectation; approved by Kristian G4 on 2026-08-04."
E01,gerber-green-2012,36,37,1,Codex-local-PDF-audit,2026-08-04,"Randomization assumptions and treatment-effect comparison confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E01,gerber-green-2012,89,89,1,Codex-local-PDF-audit,2026-08-04,"Randomization inference advantage confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E01,friedman-cassar-2004,68,69,1,Codex-local-PDF-audit,2026-08-04,"Random assignment and nonparametric inference benefit confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E02,friedman-cassar-2004,81,82,1,Codex-local-PDF-audit,2026-08-04,"Student-subject and professional-subject tradeoffs confirmed; approved by Kristian G4 on 2026-08-04."
E02,frechette-schotter,232,233,1,Codex-local-PDF-audit,2026-08-04,"Self-selected student samples and external-validity tradeoff confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E02,list-2026,44,45,1,Codex-local-visual-audit,2026-08-04,"Undergraduate laboratory subjects and design implications confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E03,imbens-rubin-2015,33,33,1,Codex-local-PDF-audit,2026-08-04,"SUTVA components and alternatives confirmed in local PDF; approved by Kristian G4 on 2026-08-04."
E03,imbens-rubin-2015,34,35,1,Codex-local-PDF-audit,2026-08-04,"SUTVA implications and potential outcomes confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E03,list-2026,343,344,1,Codex-local-visual-audit,2026-08-04,"SUTVA definition and potential-outcomes role confirmed in OCR page image; approved by Kristian G4 on 2026-08-04."
E03,list-2026,81,81,1,Codex-local-visual-audit,2026-08-04,"Potential-outcomes assumptions including no interference confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E03,gerber-green-2012,28,29,1,Codex-local-PDF-audit,2026-08-04,"Potential outcomes and assignment assumptions confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E03,gerber-green-2012,31,31,1,Codex-local-PDF-audit,2026-08-04,"SUTVA/no-interference condition confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E04,list-2026,691,691,1,Codex-local-visual-audit,2026-08-04,"Induced values for control visually confirmed on rendered PDF page; approved by Kristian G4 on 2026-08-04."
E04,list-2026,695,695,1,Codex-local-visual-audit,2026-08-04,"Incentive mechanism eliciting privately known values confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E04,kagel-roth-vol1,113,113,1,Codex-local-PDF-audit,2026-08-04,"Real-payment incentive debate confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E04,jacquemet-lharidon-2018,158,158,1,Codex-local-PDF-audit,2026-08-04,"Reward saliency and experimental control confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E04,jacquemet-lharidon-2018,169,170,1,Codex-local-PDF-audit,2026-08-04,"Currency conversion and incentive saliency confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G01,osborne-2003,174,175,1,Codex-local-PDF-audit,2026-08-04,"Formal subgame-perfect definition confirmed in local PDF; approved by Kristian G4 on 2026-08-04."
G01,osborne-rubinstein-1994,169,169,1,Codex-local-PDF-audit,2026-08-04,"One-deviation condition after every history confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G02,osborne-rubinstein-1994,136,137,1,Codex-local-PDF-audit,2026-08-04,"Discounted alternating-offers model and immediate-agreement equilibria confirmed; approved by Kristian G4 on 2026-08-04."
G02,osborne-rubinstein-1994,138,143,1,Codex-local-PDF-audit,2026-08-04,"Unique stationary SPE, discounting solution, and first-mover advantage confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G02,camerer-2003,81,82,1,Codex-local-visual-audit,2026-08-04,"Alternating offers, costly delay and discount-factor advantage visually confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G03,mas-colell-1995,460,460,1,Codex-local-visual-audit,2026-08-04,"Adverse selection and Pareto inefficiency visually confirmed on rendered PDF page; approved by Kristian G4 on 2026-08-04."
G03,myerson-1997,281,281,1,Codex-local-PDF-audit,2026-08-04,"Hidden unfavorable information and adverse-selection versus moral-hazard distinction confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G03,mas-colell-1995,465,466,1,Codex-local-visual-audit,2026-08-04,"Asymmetric worker information and Pareto-inefficient market equilibrium visually confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G03,kagel-roth-vol1,577,578,1,Codex-local-PDF-audit,2026-08-04,"Concealment, buyer losses and market unraveling confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G03,kagel-roth-vol1,596,597,1,Codex-local-PDF-audit,2026-08-04,"Winner's curse, adverse selection and market unraveling confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
G04,myerson-1997,142,143,1,Codex-local-PDF-audit,2026-08-04,"Text states pure strategies need not have equilibrium and motivates randomization; approved by Kristian G4 on 2026-08-04."
B01,camerer-2003,191,192,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,kahneman-2011,211,213,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,frechette-schotter,255,256,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,camerer-2003,117,118,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,charness-pingle-2021,190,190,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,frechette-schotter,205,206,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,kagel-roth-vol1,315,315,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,kockesen-ok-2007,63,64,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B01,camerer-2003,128,129,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B02,kagel-roth-vol1,82,83,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B02,kagel-roth-vol1,506,506,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,kagel-roth-vol1,520,521,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,friedman-cassar-2004,144,145,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,kagel-roth-vol1,274,277,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,mas-colell-1995,143,143,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,kahneman-2011,317,319,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,jacquemet-lharidon-2018,449,450,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B04,mas-colell-1995,173,174,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E01,camerer-2003,191,192,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E01,kahneman-2011,211,213,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E01,camerer-2003,117,118,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E01,charness-pingle-2021,190,190,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E01,mas-colell-1995,881,881,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,imbens-rubin-2015,452,452,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,imbens-rubin-2015,561,561,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,gerber-green-2012,240,240,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,list-2026,221,222,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,list-2026,419,420,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,jacquemet-lharidon-2018,214,215,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E02,imbens-rubin-2015,77,77,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E03,imbens-rubin-2015,482,483,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E03,jacquemet-lharidon-2018,146,147,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E04,mas-colell-1995,803,804,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
E04,charness-pingle-2021,85,86,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,kagel-roth-vol1,274,277,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,list-2026,40,41,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,osborne-rubinstein-1994,143,144,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,friedman-cassar-2004,124,125,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,osborne-2003,512,512,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G01,mas-colell-1995,866,867,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G02,friedman-cassar-2004,144,145,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G02,kagel-roth-vol2,498,499,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G02,kagel-roth-vol1,520,521,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G02,camerer-2003,41,41,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G03,charness-pingle-2021,140,141,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G03,kagel-roth-vol1,600,601,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,mas-colell-1995,661,661,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,mas-colell-1995,143,143,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,osborne-rubinstein-1994,313,314,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,osborne-rubinstein-1994,344,345,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,kagel-roth-vol2,724,724,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,myerson-1997,328,329,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,myerson-1997,373,374,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,kagel-roth-vol1,33,34,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
G04,osborne-rubinstein-1994,114,114,0,Codex-agent-pool-audit,2026-08-04,"Top-five pooled candidate judged nonrelevant; approved by Kristian G4 on 2026-08-04."
B03,behavioral-guide-2016,33,35,1,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the local pages; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B04,behavioral-guide-2016,130,131,0,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the local pages; approved by Kristian G4 on 2026-08-04."
E01,imbens-rubin-2015,209,209,1,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the local page; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E01,list-2026,191,192,1,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the rendered OCR pages; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E02,frechette-schotter,414,415,0,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the local pages; approved by Kristian G4 on 2026-08-04."
E03,list-2026,134,134,1,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the rendered OCR page; pooled top-five result, approved by Kristian G4 on 2026-08-04."
E04,holt-2019,329,330,0,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the rendered OCR pages; approved by Kristian G4 on 2026-08-04."
G02,myerson-1997,412,413,1,Codex-dual-agent-local-visual-audit,2026-08-04,"Two independent reviewers agreed and Codex visually confirmed the local pages; pooled top-five result, approved by Kristian G4 on 2026-08-04."
