estudiante_id,hogar_id,edad,sexo,zona,distrito,juntos,asiste_regularmente
E00083,H0044,15,mujer,rural,Distrito_E,1,1
E00084,H0044,7,mujer,rural,Distrito_E,1,1
E00085,H0045,9,hombre,urbana,Distrito_A,0,1
E00086,H0046,14,hombre,rural,Distrito_E,0,1
E00087,H0046,15,mujer,rural,Distrito_E,0,0
E00088,H0046,17,mujer,rural,Distrito_E,0,1
E00089,H0047,14,hombre,rural,Distrito_E,1,1
E00090,H0048,8,mujer,urbana,Distrito_A,0,1
E00091,H0048,8,hombre,urbana,Distrito_A,0,1
E00092,H0048,8,hombre,urbana,Distrito_A,0,0
E00093,H0049,6,mujer,rural,Distrito_D,1,1
E00094,H0049,14,hombre,rural,Distrito_D,1,1
E00095,H0049,16,hombre,rural,Distrito_D,1,1
E00096,H0050,14,mujer,rural,Distrito_C,1,1
E00097,H0051,9,mujer,rural,Distrito_E,1,1
E00098,H0052,14,hombre,rural,Distrito_C,1,1
E00099,H0053,16,hombre,rural,Distrito_E,1,1
E00100,H0053,11,hombre,rural,Distrito_E,1,0
E00101,H0053,12,hombre,rural,Distrito_E,1,1
E00102,H0054,7,hombre,rural,Distrito_C,1,1
E00103,H0055,8,mujer,rural,Distrito_E,1,1
E00104,H0055,8,mujer,rural,Distrito_E,1,1
E00105,H0055,6,mujer,rural,Distrito_E,1,0
E00106,H0056,15,hombre,urbana,Distrito_B,0,1
E00107,H0057,16,hombre,urbana,Distrito_A,0,0
E00108,H0057,6,hombre,urbana,Distrito_A,0,1
E00109,H0057,16,mujer,urbana,Distrito_A,0,1
E00110,H0058,6,hombre,rural,Distrito_D,1,0
E00111,H0059,7,mujer,rural,Distrito_E,0,1
E00112,H0059,12,hombre,rural,Distrito_E,0,1
E00113,H0059,8,mujer,rural,Distrito_E,0,1
E00114,H0060,11,mujer,rural,Distrito_D,0,1
E00115,H0061,13,mujer,rural,Distrito_D,1,1
E00116,H0061,17,hombre,rural,Distrito_D,1,0
E00117,H0062,17,hombre,rural,Distrito_D,0,1
E00118,H0063,8,mujer,urbana,Distrito_A,0,1
E00119,H0063,10,hombre,urbana,Distrito_A,0,1
E00120,H0064,17,mujer,urbana,Distrito_B,0,1
E00121,H0064,6,hombre,urbana,Distrito_B,0,1
E00122,H0065,17,mujer,urbana,Distrito_B,0,1
E00123,H0066,14,hombre,urbana,Distrito_A,0,1
E00124,H0066,6,hombre,urbana,Distrito_A,0,1
E00125,H0066,9,hombre,urbana,Distrito_A,0,0
E00126,H0067,12,mujer,urbana,Distrito_A,0,1
E00127,H0067,11,hombre,urbana,Distrito_A,0,0
E00128,H0068,8,mujer,urbana,Distrito_B,0,1
E00129,H0069,6,mujer,urbana,Distrito_A,0,0
E00130,H0069,13,hombre,urbana,Distrito_A,0,1
E00131,H0069,13,mujer,urbana,Distrito_A,0,1
E00132,H0070,14,hombre,urbana,Distrito_A,0,1
E00133,H0070,15,mujer,urbana,Distrito_A,0,1
E00134,H0070,6,mujer,urbana,Distrito_A,0,1
E00135,H0071,9,mujer,rural,Distrito_C,1,1
E00136,H0071,6,hombre,rural,Distrito_C,1,1
E00137,H0071,9,hombre,rural,Distrito_C,1,1
E00138,H0072,13,mujer,urbana,Distrito_B,0,1
E00139,H0073,9,hombre,rural,Distrito_C,0,0
E00140,H0073,14,hombre,rural,Distrito_C,0,0
E00141,H0074,15,hombre,rural,Distrito_C,0,1
E00142,H0075,13,hombre,rural,Distrito_E,0,1
E00143,H0075,10,hombre,rural,Distrito_E,0,1
E00144,H0075,10,mujer,rural,Distrito_E,0,1
E00145,H0076,14,mujer,urbana,Distrito_B,1,1
E00146,H0076,13,hombre,urbana,Distrito_B,1,0
E00147,H0076,14,hombre,urbana,Distrito_B,1,1
E00148,H0077,16,mujer,urbana,Distrito_B,0,1
E00149,H0078,15,mujer,urbana,Distrito_A,0,0
E00150,H0078,11,hombre,urbana,Distrito_A,0,1
E00151,H0079,14,mujer,urbana,Distrito_B,0,1
E00152,H0080,13,mujer,urbana,Distrito_B,0,1
E00153,H0081,15,mujer,urbana,Distrito_A,0,1
E00154,H0081,8,mujer,urbana,Distrito_A,0,1
E00155,H0081,10,hombre,urbana,Distrito_A,0,0
E00156,H0082,10,mujer,urbana,Distrito_A,0,1
E00157,H0083,7,mujer,rural,Distrito_D,1,1
E00158,H0083,6,hombre,rural,Distrito_D,1,1
E00159,H0084,7,mujer,rural,Distrito_E,0,1
E00160,H0084,15,mujer,rural,Distrito_E,0,0
E00161,H0085,15,hombre,rural,Distrito_D,1,0
E00162,H0085,12,mujer,rural,Distrito_D,1,1
E00163,H0086,8,mujer,urbana,Distrito_B,0,1
E00164,H0086,13,hombre,urbana,Distrito_B,0,1
E00165,H0086,6,mujer,urbana,Distrito_B,0,1
E00166,H0087,13,mujer,rural,Distrito_D,0,1
E00167,H0088,7,mujer,rural,Distrito_C,1,1
E00168,H0089,12,mujer,rural,Distrito_D,1,1
E00169,H0089,17,mujer,rural,Distrito_D,1,1
E00170,H0090,12,mujer,rural,Distrito_D,1,1
E00171,H0090,8,hombre,rural,Distrito_D,1,1
E00172,H0091,7,mujer,urbana,Distrito_A,1,1
E00173,H0091,17,hombre,urbana,Distrito_A,1,1
E00174,H0091,12,hombre,urbana,Distrito_A,1,1
E00175,H0092,14,hombre,rural,Distrito_E,1,1
E00176,H0092,14,mujer,rural,Distrito_E,1,1
E00177,H0092,15,hombre,rural,Distrito_E,1,1
E00178,H0093,14,hombre,rural,Distrito_D,0,1
E00179,H0093,9,mujer,rural,Distrito_D,0,0
E00180,H0094,13,hombre,rural,Distrito_C,1,1
E00181,H0095,9,hombre,urbana,Distrito_A,1,1
E00182,H0095,14,mujer,urbana,Distrito_A,1,1
E00183,H0095,14,mujer,urbana,Distrito_A,1,1
E00184,H0096,15,mujer,rural,Distrito_E,0,0
E00185,H0096,8,hombre,rural,Distrito_E,0,0
E00186,H0097,9,mujer,rural,Distrito_C,0,1
E00187,H0097,7,mujer,rural,Distrito_C,0,1
E00188,H0098,7,hombre,rural,Distrito_C,1,1
E00189,H0099,13,mujer,rural,Distrito_E,0,1
E00190,H0100,7,mujer,urbana,Distrito_A,0,1
E00191,H0100,15,mujer,urbana,Distrito_A,0,1
E00192,H0100,9,mujer,urbana,Distrito_A,0,1
E00193,H0101,10,hombre,rural,Distrito_E,1,1
E00194,H0102,11,hombre,rural,Distrito_D,1,1
E00195,H0103,7,hombre,urbana,Distrito_B,0,1
E00196,H0104,7,mujer,rural,Distrito_D,1,1
E00197,H0104,17,hombre,rural,Distrito_D,1,1
E00198,H0105,17,hombre,rural,Distrito_D,0,1
E00199,H0105,10,mujer,rural,Distrito_D,0,1
E00200,H0105,8,hombre,rural,Distrito_D,0,1
E00201,H0106,12,hombre,urbana,Distrito_A,0,1
E00202,H0106,12,mujer,urbana,Distrito_A,0,1
E00203,H0106,13,mujer,urbana,Distrito_A,0,0
E00204,H0107,14,hombre,rural,Distrito_E,1,1
E00205,H0107,7,hombre,rural,Distrito_E,1,1
E00206,H0107,17,hombre,rural,Distrito_E,1,1
E00207,H0108,11,mujer,rural,Distrito_C,1,1
E00208,H0108,9,mujer,rural,Distrito_C,1,1
E00209,H0109,6,mujer,rural,Distrito_C,0,1
E00210,H0110,8,hombre,urbana,Distrito_B,0,1
E00211,H0110,13,mujer,urbana,Distrito_B,0,1
E00212,H0110,15,hombre,urbana,Distrito_B,0,1
E00213,H0111,11,mujer,urbana,Distrito_A,0,1
E00214,H0112,9,mujer,rural,Distrito_C,0,1
E00215,H0113,7,hombre,rural,Distrito_D,0,0
E00216,H0114,11,mujer,rural,Distrito_D,1,1
E00217,H0115,11,mujer,urbana,Distrito_B,0,1
E00218,H0116,6,mujer,urbana,Distrito_B,0,1
E00219,H0117,9,mujer,urbana,Distrito_A,0,1
E00220,H0118,15,mujer,urbana,Distrito_A,0,1
E00221,H0119,15,hombre,rural,Distrito_E,1,1
E00222,H0120,8,hombre,urbana,Distrito_A,1,1
E00223,H0120,13,mujer,urbana,Distrito_A,1,1
E00224,H0121,7,hombre,rural,Distrito_D,0,0
E00225,H0121,14,mujer,rural,Distrito_D,0,1
E00226,H0121,11,mujer,rural,Distrito_D,0,0
E00227,H0122,7,hombre,urbana,Distrito_A,0,1
E00228,H0122,8,mujer,urbana,Distrito_A,0,1
E00229,H0123,8,mujer,rural,Distrito_D,0,1
E00230,H0124,17,hombre,rural,Distrito_E,0,1
E00231,H0124,10,mujer,rural,Distrito_E,0,1
E00232,H0125,6,mujer,rural,Distrito_E,0,1
E00233,H0126,14,mujer,rural,Distrito_C,1,1
E00234,H0126,16,mujer,rural,Distrito_C,1,1
E00235,H0126,9,hombre,rural,Distrito_C,1,1
E00236,H0127,15,hombre,urbana,Distrito_B,0,1
E00237,H0127,12,mujer,urbana,Distrito_B,0,1
E00238,H0128,6,hombre,urbana,Distrito_B,0,1
E00239,H0128,17,hombre,urbana,Distrito_B,0,1
E00240,H0128,16,mujer,urbana,Distrito_B,0,1
E00241,H0129,11,hombre,rural,Distrito_C,1,1
E00242,H0130,13,mujer,rural,Distrito_E,0,0
E00243,H0131,17,hombre,rural,Distrito_E,0,1
E00244,H0131,12,hombre,rural,Distrito_E,0,0
E00245,H0132,15,mujer,rural,Distrito_E,1,1
E00246,H0132,17,hombre,rural,Distrito_E,1,1
E00247,H0132,6,mujer,rural,Distrito_E,1,1
E00248,H0133,7,hombre,urbana,Distrito_A,0,1
E00249,H0133,8,hombre,urbana,Distrito_A,0,1
E00250,H0133,14,mujer,urbana,Distrito_A,0,0
E00251,H0134,12,hombre,urbana,Distrito_B,0,1
E00252,H0135,17,mujer,rural,Distrito_C,0,1
E00253,H0135,15,hombre,rural,Distrito_C,0,1
E00254,H0135,13,hombre,rural,Distrito_C,0,1
E00255,H0136,11,mujer,rural,Distrito_D,0,1
E00256,H0136,10,hombre,rural,Distrito_D,0,0
E00257,H0137,13,mujer,rural,Distrito_C,1,1
E00258,H0137,7,hombre,rural,Distrito_C,1,1
E00259,H0138,17,mujer,rural,Distrito_D,0,0
E00260,H0138,9,hombre,rural,Distrito_D,0,1
E00261,H0139,6,hombre,urbana,Distrito_A,0,1
E00262,H0140,12,mujer,urbana,Distrito_A,0,1
E00263,H0141,10,hombre,rural,Distrito_D,1,1
E00264,H0141,7,mujer,rural,Distrito_D,1,1
E00265,H0142,7,mujer,urbana,Distrito_A,0,1
E00266,H0142,9,mujer,urbana,Distrito_A,0,1
E00267,H0143,13,hombre,rural,Distrito_C,1,1
E00268,H0143,9,mujer,rural,Distrito_C,1,1
E00269,H0143,13,mujer,rural,Distrito_C,1,1
E00270,H0144,12,hombre,rural,Distrito_E,0,1
E00271,H0145,10,hombre,urbana,Distrito_A,0,1
E00272,H0145,7,hombre,urbana,Distrito_A,0,1
E00273,H0146,15,mujer,rural,Distrito_C,1,1
E00274,H0146,13,mujer,rural,Distrito_C,1,1
E00275,H0146,9,hombre,rural,Distrito_C,1,1
E00276,H0147,9,mujer,rural,Distrito_E,1,1
E00277,H0147,7,mujer,rural,Distrito_E,1,1
E00278,H0148,8,mujer,rural,Distrito_D,0,0
E00279,H0149,6,mujer,urbana,Distrito_A,0,1
E00280,H0150,11,hombre,rural,Distrito_C,1,1
E00281,H0151,11,hombre,urbana,Distrito_A,0,1
E00282,H0152,16,hombre,urbana,Distrito_B,0,1
E00283,H0152,16,mujer,urbana,Distrito_B,0,1
E00284,H0152,7,mujer,urbana,Distrito_B,0,1
E00285,H0153,10,hombre,rural,Distrito_C,1,1
E00286,H0153,12,mujer,rural,Distrito_C,1,1
E00287,H0153,10,mujer,rural,Distrito_C,1,1
E00288,H0154,12,hombre,urbana,Distrito_B,0,1
E00289,H0154,11,mujer,urbana,Distrito_B,0,0
E00290,H0155,17,hombre,rural,Distrito_D,1,1
E00291,H0156,16,hombre,rural,Distrito_E,0,0
E00292,H0156,14,hombre,rural,Distrito_E,0,0
E00293,H0156,8,hombre,rural,Distrito_E,0,1
E00294,H0157,9,mujer,rural,Distrito_E,1,1
E00295,H0158,15,mujer,urbana,Distrito_B,0,1
E00296,H0159,6,hombre,urbana,Distrito_A,0,1
E00297,H0159,17,hombre,urbana,Distrito_A,0,1
E00298,H0159,14,mujer,urbana,Distrito_A,0,1
E00299,H0160,6,hombre,urbana,Distrito_A,0,1
E00300,H0160,10,mujer,urbana,Distrito_A,0,0
E00301,H0160,9,hombre,urbana,Distrito_A,0,1
E00302,H0161,9,mujer,rural,Distrito_E,1,1
E00303,H0161,11,mujer,rural,Distrito_E,1,1
E00304,H0161,12,hombre,rural,Distrito_E,1,1
E00305,H0162,15,mujer,rural,Distrito_D,1,1
E00306,H0162,8,hombre,rural,Distrito_D,1,1
E00307,H0162,17,hombre,rural,Distrito_D,1,1
E00308,H0163,15,mujer,urbana,Distrito_A,0,1
E00309,H0164,16,hombre,rural,Distrito_E,0,1
E00310,H0165,6,hombre,urbana,Distrito_B,0,0
E00311,H0165,8,hombre,urbana,Distrito_B,0,1
E00312,H0165,14,mujer,urbana,Distrito_B,0,1
E00313,H0166,14,hombre,urbana,Distrito_B,0,1
E00314,H0166,11,mujer,urbana,Distrito_B,0,1
E00315,H0167,16,mujer,rural,Distrito_C,0,0
E00316,H0168,17,mujer,urbana,Distrito_B,1,1
E00317,H0168,9,mujer,urbana,Distrito_B,1,1
E00318,H0168,14,mujer,urbana,Distrito_B,1,1
E00319,H0169,16,hombre,urbana,Distrito_A,1,1
E00320,H0169,11,mujer,urbana,Distrito_A,1,1
E00321,H0169,11,hombre,urbana,Distrito_A,1,0
E00322,H0170,12,hombre,urbana,Distrito_B,1,1
E00323,H0171,13,mujer,urbana,Distrito_A,0,1
E00324,H0172,15,hombre,rural,Distrito_C,0,1
E00325,H0172,11,mujer,rural,Distrito_C,0,0
E00326,H0173,11,hombre,rural,Distrito_D,1,1
E00327,H0174,11,mujer,urbana,Distrito_A,0,1
E00328,H0175,8,hombre,rural,Distrito_E,1,0
E00329,H0175,12,mujer,rural,Distrito_E,1,1
E00330,H0176,6,mujer,urbana,Distrito_B,0,1
E00331,H0176,13,hombre,urbana,Distrito_B,0,1
E00332,H0177,9,hombre,urbana,Distrito_A,0,1
E00333,H0177,15,hombre,urbana,Distrito_A,0,1
E00334,H0177,8,mujer,urbana,Distrito_A,0,1
E00335,H0178,14,mujer,urbana,Distrito_B,0,1
E00336,H0178,14,mujer,urbana,Distrito_B,0,1
E00337,H0178,11,hombre,urbana,Distrito_B,0,1
E00338,H0179,12,mujer,rural,Distrito_C,0,1
E00339,H0179,14,mujer,rural,Distrito_C,0,1
E00340,H0180,10,hombre,rural,Distrito_E,1,1
E00341,H0180,9,mujer,rural,Distrito_E,1,1
E00342,H0180,7,hombre,rural,Distrito_E,1,1
E00343,H0181,10,mujer,urbana,Distrito_A,0,1
E00344,H0182,8,mujer,urbana,Distrito_A,1,1
E00345,H0182,16,mujer,urbana,Distrito_A,1,1
E00346,H0183,13,mujer,urbana,Distrito_A,0,1
E00347,H0184,12,hombre,rural,Distrito_E,1,1
E00348,H0184,12,mujer,rural,Distrito_E,1,1
E00349,H0185,13,mujer,rural,Distrito_E,1,0
E00350,H0185,8,mujer,rural,Distrito_E,1,0
E00351,H0185,9,hombre,rural,Distrito_E,1,1
E00352,H0186,7,mujer,rural,Distrito_C,1,1
E00353,H0187,8,mujer,rural,Distrito_C,0,0
E00354,H0188,15,mujer,rural,Distrito_E,0,1
E00355,H0188,7,mujer,rural,Distrito_E,0,1
E00356,H0189,15,mujer,rural,Distrito_C,0,1
E00357,H0189,8,mujer,rural,Distrito_C,0,0
E00358,H0190,15,mujer,urbana,Distrito_A,0,1
E00359,H0190,17,mujer,urbana,Distrito_A,0,1
E00360,H0190,12,mujer,urbana,Distrito_A,0,1
E00361,H0191,7,hombre,urbana,Distrito_A,0,1
E00362,H0192,9,hombre,urbana,Distrito_A,0,1
E00363,H0193,14,hombre,urbana,Distrito_A,0,1
E00364,H0193,15,mujer,urbana,Distrito_A,0,1
E00365,H0193,16,hombre,urbana,Distrito_A,0,1
E00366,H0194,12,hombre,rural,Distrito_D,0,1
E00367,H0195,13,hombre,rural,Distrito_E,1,1
E00368,H0195,14,hombre,rural,Distrito_E,1,1
E00369,H0195,9,mujer,rural,Distrito_E,1,1
E00370,H0196,14,hombre,rural,Distrito_C,1,1
E00371,H0196,15,mujer,rural,Distrito_C,1,1
E00372,H0196,15,hombre,rural,Distrito_C,1,1
E00373,H0197,15,hombre,rural,Distrito_D,1,1
E00374,H0197,12,mujer,rural,Distrito_D,1,1
E00375,H0197,7,mujer,rural,Distrito_D,1,1
E00376,H0198,17,mujer,rural,Distrito_E,1,0
E00377,H0198,15,hombre,rural,Distrito_E,1,1
E00378,H0198,8,mujer,rural,Distrito_E,1,1
E00379,H0199,12,mujer,rural,Distrito_E,1,0
E00380,H0199,7,hombre,rural,Distrito_E,1,1
E00381,H0199,11,hombre,rural,Distrito_E,1,1
E00382,H0200,9,mujer,rural,Distrito_C,1,1
E00383,H0200,11,mujer,rural,Distrito_C,1,1
E00384,H0200,17,mujer,rural,Distrito_C,1,1
E00385,H0201,8,hombre,urbana,Distrito_B,0,1
E00386,H0201,10,hombre,urbana,Distrito_B,0,1
E00387,H0202,9,hombre,urbana,Distrito_B,0,1
E00388,H0202,14,hombre,urbana,Distrito_B,0,0
E00389,H0203,15,mujer,urbana,Distrito_A,0,1
E00390,H0204,16,mujer,urbana,Distrito_A,1,0
E00391,H0204,6,mujer,urbana,Distrito_A,1,1
E00392,H0204,16,hombre,urbana,Distrito_A,1,1
E00393,H0205,9,hombre,rural,Distrito_D,1,1
E00394,H0206,10,mujer,urbana,Distrito_A,0,1
E00395,H0206,13,hombre,urbana,Distrito_A,0,1
E00396,H0206,12,hombre,urbana,Distrito_A,0,1
E00397,H0207,14,mujer,urbana,Distrito_B,0,1
E00398,H0207,13,hombre,urbana,Distrito_B,0,1
E00399,H0207,13,hombre,urbana,Distrito_B,0,1
E00400,H0208,6,hombre,rural,Distrito_C,1,1
E00401,H0208,9,mujer,rural,Distrito_C,1,0
E00402,H0208,13,mujer,rural,Distrito_C,1,1
E00403,H0209,17,hombre,rural,Distrito_E,0,1
E00404,H0209,11,hombre,rural,Distrito_E,0,1
E00405,H0210,6,mujer,rural,Distrito_D,1,1
E00406,H0210,15,hombre,rural,Distrito_D,1,1
E00407,H0211,8,hombre,rural,Distrito_C,1,1
E00408,H0211,14,mujer,rural,Distrito_C,1,1
E00409,H0211,10,mujer,rural,Distrito_C,1,0
E00410,H0212,14,mujer,urbana,Distrito_B,1,0
E00411,H0213,14,mujer,rural,Distrito_E,0,1
E00412,H0213,13,hombre,rural,Distrito_E,0,1
E00413,H0213,6,mujer,rural,Distrito_E,0,1
E00414,H0214,12,mujer,urbana,Distrito_A,1,1
E00415,H0214,17,hombre,urbana,Distrito_A,1,1
E00416,H0214,14,hombre,urbana,Distrito_A,1,1
E00417,H0215,11,mujer,urbana,Distrito_A,0,1
E00418,H0215,14,hombre,urbana,Distrito_A,0,1
E00419,H0215,8,mujer,urbana,Distrito_A,0,0
E00420,H0216,9,mujer,urbana,Distrito_A,0,1
E00421,H0216,17,mujer,urbana,Distrito_A,0,1
E00422,H0216,14,hombre,urbana,Distrito_A,0,1
E00423,H0217,15,mujer,urbana,Distrito_B,0,1
E00424,H0218,17,mujer,rural,Distrito_E,1,1
E00425,H0219,17,hombre,urbana,Distrito_A,0,0
E00426,H0219,10,mujer,urbana,Distrito_A,0,1
E00427,H0219,14,mujer,urbana,Distrito_A,0,1
E00428,H0220,6,hombre,urbana,Distrito_B,0,1
E00429,H0220,16,hombre,urbana,Distrito_B,0,0
E00430,H0220,11,hombre,urbana,Distrito_B,0,1
E00431,H0221,8,hombre,rural,Distrito_E,1,1
E00432,H0221,16,hombre,rural,Distrito_E,1,1
E00433,H0222,6,hombre,urbana,Distrito_B,0,0
E00434,H0223,17,mujer,urbana,Distrito_A,0,0
E00435,H0223,13,mujer,urbana,Distrito_A,0,1
E00436,H0224,17,mujer,rural,Distrito_D,1,0
E00437,H0224,12,hombre,rural,Distrito_D,1,0
E00438,H0224,17,mujer,rural,Distrito_D,1,1
E00439,H0225,17,mujer,rural,Distrito_D,1,1
E00440,H0226,14,mujer,urbana,Distrito_A,0,1
E00441,H0227,8,hombre,urbana,Distrito_B,0,1
E00442,H0228,15,hombre,rural,Distrito_C,1,1
E00443,H0228,6,mujer,rural,Distrito_C,1,1
E00444,H0229,16,mujer,urbana,Distrito_A,0,1
E00445,H0229,10,hombre,urbana,Distrito_A,0,1
E00446,H0229,6,hombre,urbana,Distrito_A,0,1
E00447,H0230,8,mujer,rural,Distrito_E,0,1
E00448,H0231,17,hombre,rural,Distrito_D,0,0
E00449,H0231,17,hombre,rural,Distrito_D,0,1
E00450,H0231,15,hombre,rural,Distrito_D,0,0
E00451,H0232,8,hombre,urbana,Distrito_B,0,1
E00452,H0232,6,hombre,urbana,Distrito_B,0,1
E00453,H0232,14,hombre,urbana,Distrito_B,0,1
E00454,H0233,8,hombre,urbana,Distrito_A,0,1
E00455,H0233,6,hombre,urbana,Distrito_A,0,0
E00456,H0234,7,hombre,rural,Distrito_D,0,1
E00457,H0235,9,hombre,urbana,Distrito_A,0,1
E00458,H0235,6,hombre,urbana,Distrito_A,0,1
E00459,H0235,7,mujer,urbana,Distrito_A,0,1
E00460,H0236,15,mujer,rural,Distrito_D,0,1
E00461,H0236,10,hombre,rural,Distrito_D,0,0
E00462,H0237,16,mujer,urbana,Distrito_A,0,1
E00463,H0237,12,hombre,urbana,Distrito_A,0,1
E00464,H0238,14,mujer,rural,Distrito_E,1,0
E00465,H0238,15,hombre,rural,Distrito_E,1,1
E00466,H0239,8,mujer,urbana,Distrito_A,0,0
E00467,H0239,16,mujer,urbana,Distrito_A,0,1
E00468,H0240,8,hombre,urbana,Distrito_B,0,1
E00469,H0240,6,mujer,urbana,Distrito_B,0,1
E00470,H0240,14,hombre,urbana,Distrito_B,0,1
E00471,H0241,17,mujer,rural,Distrito_D,1,1
E00472,H0241,7,hombre,rural,Distrito_D,1,1
E00473,H0241,13,hombre,rural,Distrito_D,1,0
E00474,H0242,17,hombre,urbana,Distrito_A,1,0
E00475,H0242,16,hombre,urbana,Distrito_A,1,1
E00476,H0243,12,mujer,rural,Distrito_C,1,1
E00477,H0243,10,mujer,rural,Distrito_C,1,1
E00478,H0244,10,hombre,rural,Distrito_E,1,1
E00479,H0244,10,hombre,rural,Distrito_E,1,1
E00480,H0245,14,mujer,urbana,Distrito_A,0,1
E00481,H0245,12,mujer,urbana,Distrito_A,0,1
E00482,H0246,6,hombre,rural,Distrito_C,0,1
E00483,H0246,12,mujer,rural,Distrito_C,0,1
E00484,H0246,8,mujer,rural,Distrito_C,0,1
E00485,H0247,15,hombre,rural,Distrito_C,1,1
E00486,H0248,6,mujer,rural,Distrito_D,0,1
E00487,H0248,12,mujer,rural,Distrito_D,0,1
E00488,H0248,12,hombre,rural,Distrito_D,0,1
E00489,H0249,8,hombre,rural,Distrito_C,0,1
