hogar_id,miembros_hogar,gasto_per_capita
H0268,7,285.65
H0269,6,617.41
H0270,5,345.19
H0271,6,349.95
H0273,3,227.66
H0274,3,247.95
H0275,7,323.08
H0276,7,240.77
H0277,7,381.98
H0278,7,206.4
H0280,4,309.11
H0281,5,294.13
H0283,3,491.24
H0284,5,493.3
H0285,6,463.06
H0287,3,375.94
H0289,5,181.26
H0290,6,237.43
H0292,7,466.96
H0293,7,374.44
H0294,7,245.07
H0295,7,267.12
H0298,6,209.56
H0299,7,352.27
H0301,6,262.01
H0302,6,381.18
H0303,6,148.43
H0304,6,458.84
H0305,3,309.45
H0306,4,182.97
H0307,7,169.21
H0308,7,340.45
H0309,3,481.0
H0310,4,383.14
H0312,6,424.12
H0313,5,521.6
H0314,6,403.42
H0315,3,493.43
H0316,6,147.98
H0317,5,235.98
H0318,3,107.5
H0319,4,375.97
H0320,7,122.06
H0321,5,515.34
H0322,6,219.85
H0323,5,306.98
H0324,5,95.39
H0325,7,220.06
H0326,4,150.42
H0327,6,417.12
H0329,7,618.92
H0330,6,392.33
H0331,7,578.9
H0332,3,425.83
H0333,3,298.94
H0334,3,405.1
H0335,5,410.02
H0336,3,580.59
H0337,7,317.27
H0338,6,211.24
H0339,7,203.58
H0340,3,224.88
H0341,6,120.18
H0343,3,461.81
H0344,4,119.35
H0346,4,300.11
H0347,4,416.85
H0348,7,266.98
H0349,3,465.32
H0351,3,540.0
H0352,5,566.47
H0353,7,166.34
H0356,7,468.34
H0357,3,583.71
H0358,7,588.33
H0359,6,135.22
